Data,Fechamento
2022-02-16,115181
2022-02-17,113528
2022-02-18,112880
2022-02-21,111725
2022-02-22,112892
2022-02-23,112008
2022-02-24,111592
2022-02-25,113142
2022-03-02,115174
2022-03-03,115166
2022-03-04,114474
2022-03-07,111593
2022-03-08,111203
2022-03-09,113900
2022-03-10,113663
2022-03-11,111713
2022-03-14,109928
2022-03-15,108959
2022-03-16,111112
2022-03-17,113076
2022-03-18,115311
2022-03-21,116155
2022-03-22,117272
2022-03-23,117457
2022-03-24,119053
2022-03-25,119081
2022-03-28,118738
2022-03-29,120014
2022-03-30,120260
2022-03-31,119999
2022-04-01,121570
2022-04-04,121280
2022-04-05,118885
2022-04-06,118228
2022-04-07,118862
2022-04-08,118322
2022-04-11,116953
2022-04-12,116147
2022-04-13,116782
2022-04-14,116182
2022-04-18,115687
2022-04-19,115057
2022-04-20,114344
2022-04-22,111078
2022-04-25,110685
2022-04-26,108213
2022-04-27,109349
2022-04-28,109919
2022-04-29,107876
2022-05-02,106639
2022-05-03,106528
2022-05-04,108344
2022-05-05,105304
2022-05-06,105135
2022-05-09,103250
2022-05-10,103110
2022-05-11,104397
2022-05-12,105688
2022-05-13,106924
2022-05-16,108233
2022-05-17,108789
2022-05-18,106247
2022-05-19,107005
2022-05-20,108488
2022-05-23,110346
2022-05-24,110581
2022-05-25,110580
2022-05-26,111890
2022-05-27,111942
2022-05-30,111032
2022-05-31,111351
2022-06-01,111360
2022-06-02,112393
2022-06-03,111102
2022-06-06,110186
2022-06-07,110070
2022-06-08,108368
2022-06-09,107094
2022-06-10,105481
2022-06-13,102598
2022-06-14,102063
2022-06-15,102807
2022-06-17,99825
2022-06-20,99853
2022-06-21,99685
2022-06-22,99522
2022-06-23,98080
2022-06-24,98672
2022-06-27,100764
2022-06-28,100591
2022-06-29,99622
2022-06-30,98542
2022-07-01,98954
2022-07-04,98609
2022-07-05,98295
2022-07-06,98719
2022-07-07,100730
2022-07-08,100289
2022-07-11,98212
2022-07-12,98271
2022-07-13,97881
2022-07-14,96121
2022-07-15,96551
2022-07-18,96916
2022-07-19,98245
2022-07-20,98287
2022-07-21,99033
2022-07-22,98925
2022-07-25,100270
2022-07-26,99772
2022-07-27,101438
2022-07-28,102597
2022-07-29,103165
2022-08-01,102225
2022-08-02,103362
2022-08-03,103775
2022-08-04,105892
2022-08-05,106472
2022-08-08,108402
2022-08-09,108651
2022-08-10,110236
2022-08-11,109718
2022-08-12,112764
2022-08-15,113032
2022-08-16,113512
2022-08-17,113708
2022-08-18,113813
2022-08-19,111496
2022-08-22,110501
2022-08-23,112857
2022-08-24,112898
2022-08-25,113532
2022-08-26,112299
2022-08-29,112323
2022-08-30,110431
2022-08-31,109523
2022-09-01,110405
2022-09-02,110864
2022-09-05,112203
2022-09-06,109764
2022-09-08,109916
2022-09-09,112300
2022-09-12,113407
2022-09-13,110794
2022-09-14,110547
2022-09-15,109954
2022-09-16,109280
2022-09-19,111824
2022-09-20,112517
2022-09-21,111936
2022-09-22,114070
2022-09-23,111716
2022-09-26,109114
2022-09-27,108376
2022-09-28,108451
2022-09-29,107664
2022-09-30,110037
2022-10-03,116134
2022-10-04,116230
2022-10-05,117198
2022-10-06,117561
2022-10-07,116375
2022-10-10,115941
2022-10-11,114827
2022-10-13,114300
2022-10-14,112072
2022-10-17,113624
2022-10-18,115743
2022-10-19,116274
2022-10-20,117171
2022-10-21,119929
2022-10-24,116013
2022-10-25,114626
2022-10-26,112764
2022-10-27,114641
2022-10-28,114539
2022-10-31,116037
2022-11-01,116929
2022-11-03,116896
2022-11-04,118155
2022-11-07,115342
2022-11-08,116160
2022-11-09,113580
2022-11-10,109775
2022-11-11,112253
2022-11-14,113161
2022-11-16,110243
2022-11-17,109703
2022-11-18,108870
2022-11-21,109748
2022-11-22,109037
2022-11-23,108841
2022-11-24,111831
2022-11-25,108977
2022-11-28,108782
2022-11-29,110910
2022-11-30,112486
2022-12-01,110926
2022-12-02,111924
2022-12-05,109401
2022-12-06,110189
2022-12-07,109069
2022-12-08,107249
2022-12-09,107520
2022-12-12,105343
2022-12-13,103540
2022-12-14,103746
2022-12-15,103738
2022-12-16,102856
2022-12-19,104740
2022-12-20,106864
2022-12-21,107433
2022-12-22,107552
2022-12-23,109698
2022-12-26,108738
2022-12-27,108578
2022-12-28,110237
2022-12-29,109735
2023-01-02,106376
2023-01-03,104166
2023-01-04,105334
2023-01-05,107641
2023-01-06,108964
2023-01-09,109130
2023-01-10,110817
2023-01-11,112517
2023-01-12,111850
2023-01-13,110916
2023-01-16,109213
2023-01-17,111439
2023-01-18,112228
2023-01-19,112922
2023-01-20,112041
2023-01-23,111737
2023-01-24,113028
2023-01-25,114270
2023-01-26,114178
2023-01-27,112316
2023-01-30,112273
2023-01-31,113431
2023-02-01,112074
2023-02-02,110141
2023-02-03,108523
2023-02-06,108722
2023-02-07,107830
2023-02-08,109951
2023-02-09,108008
2023-02-10,108078
2023-02-13,108836
2023-02-14,107849
2023-02-15,109600
2023-02-16,109941
2023-02-17,109177
2023-02-22,107152
2023-02-23,107593
2023-02-24,105798
2023-02-27,105711
2023-02-28,104932
2023-03-01,104385
2023-03-02,103326
2023-03-03,103866
2023-03-06,104700
2023-03-07,104228
2023-03-08,106540
2023-03-09,105071
2023-03-10,103618
2023-03-13,103121
2023-03-14,102932
2023-03-15,102675
2023-03-16,103435
2023-03-17,101982
2023-03-20,100923
2023-03-21,100998
2023-03-22,100221
2023-03-23,97926
2023-03-24,98829
2023-03-27,99670
2023-03-28,101185
2023-03-29,101793
2023-03-30,103713
2023-03-31,101882
2023-04-03,101506
2023-04-04,101869
2023-04-05,100978
2023-04-06,100822
2023-04-10,101847
2023-04-11,106214
2023-04-12,106890
2023-04-13,106458
2023-04-14,106279
2023-04-17,106016
2023-04-18,106163
2023-04-19,103913
2023-04-20,104367
2023-04-24,103947
2023-04-25,103220
2023-04-26,102312
2023-04-27,102923
2023-04-28,104432
2023-05-02,101927
2023-05-03,101797
2023-05-04,102174
2023-05-05,105148
2023-05-08,106042
2023-05-09,107114
2023-05-10,107448
2023-05-11,108256
2023-05-12,108464
2023-05-15,109029
2023-05-16,108194
2023-05-17,109460
2023-05-18,110108
2023-05-19,110745
2023-05-22,110213
2023-05-23,109929
2023-05-24,108800
2023-05-25,110054
2023-05-26,110906
2023-05-29,110333
2023-05-30,108967
2023-05-31,108335
2023-06-01,110565
2023-06-02,112558
2023-06-05,112696
2023-06-06,114610
2023-06-07,115488
2023-06-09,117019
2023-06-12,117336
2023-06-13,116743
2023-06-14,119069
2023-06-15,119221
2023-06-16,118758
2023-06-19,119858
2023-06-20,119622
2023-06-21,120420
2023-06-22,118934
2023-06-23,118977
2023-06-26,118243
2023-06-27,117523
2023-06-28,116681
2023-06-29,118383
2023-06-30,118087
2023-07-03,119673
2023-07-04,119076
2023-07-05,119549
2023-07-06,117426
2023-07-07,118898
2023-07-10,117942
2023-07-11,117220
2023-07-12,117666
2023-07-13,119264
2023-07-14,117711
2023-07-17,118219
2023-07-18,117841
2023-07-19,117552
2023-07-20,118083
2023-07-21,120217
2023-07-24,121342
2023-07-25,122008
2023-07-26,122560
2023-07-27,119990
2023-07-28,120187
2023-07-31,121943
2023-08-01,121248
